   10.000000000000000       0.50000000000000000       0.57142857142857140      -4.97067035767729219E-042      !  Rmi/cm, dR/cm, dA/deg, dZ/cm
 # Field map generated using geneSectorMap.f 
# AT/rd,  AT/deg, Rmi/cm, Rma/cm, RM/cm, NR, dR/cm, NX, dX/cm, dA/rd : 
#   1.04719755E+00   6.00000000E+01   1.00000000E+01   7.00000000E+01   5.00000000E+01 121   5.00000000E-01 106   4.98665501E-01   9.97331001E-03
 # 
 # R, Z, X, BY, BZ, BX 
 # cm cm rd kG  kG  kG 
 # 
  9.49503737E+00  0.00000000E+00  3.13755723E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.46327384E+00  0.00000000E+00  3.23209657E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.43056903E+00  0.00000000E+00  3.32631443E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.39692621E+00  0.00000000E+00  3.42020143E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.36234871E+00  0.00000000E+00  3.51374824E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.32683997E+00  0.00000000E+00  3.60694555E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.29040353E+00  0.00000000E+00  3.69978409E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.25304300E+00  0.00000000E+00  3.79225463E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.21476212E+00  0.00000000E+00  3.88434796E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.17556468E+00  0.00000000E+00  3.97605494E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.13545458E+00  0.00000000E+00  4.06736643E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.09443581E+00  0.00000000E+00  4.15827336E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.05251245E+00  0.00000000E+00  4.24876668E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  9.00968868E+00  0.00000000E+00  4.33883739E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  8.96596875E+00  0.00000000E+00  4.42847654E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  8.92135700E+00  0.00000000E+00  4.51767520E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  8.87585789E+00  0.00000000E+00  4.60642450E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  8.82947593E+00  0.00000000E+00  4.69471563E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  8.78221573E+00  0.00000000E+00  4.78253979E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  8.73408201E+00  0.00000000E+00  4.86988824E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  8.68507953E+00  0.00000000E+00  4.95675231E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  8.63521319E+00  0.00000000E+00  5.04312335E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  8.58448794E+00  0.00000000E+00  5.12899277E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  8.53290882E+00  0.00000000E+00  5.21435203E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  8.48048096E+00  0.00000000E+00  5.29919264E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  8.42720959E+00  0.00000000E+00  5.38350616E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  8.37309999E+00  0.00000000E+00  5.46728420E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  8.31815755E+00  0.00000000E+00  5.55051844E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  8.26238774E+00  0.00000000E+00  5.63320058E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  8.20579611E+00  0.00000000E+00  5.71532241E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  8.14838827E+00  0.00000000E+00  5.79687576E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  8.09016994E+00  0.00000000E+00  5.87785252E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  8.03114692E+00  0.00000000E+00  5.95824463E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  7.97132507E+00  0.00000000E+00  6.03804410E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  7.91071035E+00  0.00000000E+00  6.11724299E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  7.84930877E+00  0.00000000E+00  6.19583342E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  7.78712646E+00  0.00000000E+00  6.27380758E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  7.72416959E+00  0.00000000E+00  6.35115770E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  7.66044443E+00  0.00000000E+00  6.42787610E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  7.59595732E+00  0.00000000E+00  6.50395514E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  7.53071466E+00  0.00000000E+00  6.57938726E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
  7.46472295E+00  0.00000000E+00  6.65416495E+00  0.00000000E+00  5.00000000E+00  0.00000000E+00
