# F0(1,2),  F0(1,1),  F0(3,4),  F0(3,3) ,  F0(5,6),  F0(5,5),  F0(1,6),  F0(2,6),  F0(3,6),  F0(4,6),  PHY/(2.D0*PI),  PHZ/(2.D0*PI),  SCUM,  NOEL,  R(1,6),  R(2,6),  R(3,6),  R(4,6)
 -5.43277E-01   6.16240E-01   1.63369E+00   6.28440E+00   9.84190E-35   5.19092-270  -4.86563E-03   2.46169E-03   0.00000E+00   0.00000E+00   5.85782E-02   4.89130E-03   1.99876E+01      1  3.76788E-04   3.80283E-03   0.00000E+00   0.00000E+00
 -5.57824E-01   6.21742E-01   1.67155E+00   6.26789E+00   9.84190E-35   5.19092-270  -4.85316E-03   2.52602E-03   0.00000E+00   0.00000E+00   5.98630E-02   5.01802E-03   2.04873E+01      1  3.96036E-04   3.90129E-03   0.00000E+00   0.00000E+00
 -5.72443E-01   6.27389E-01   1.70919E+00   6.25099E+00   9.84190E-35   5.19092-270  -4.84038E-03   2.59056E-03   0.00000E+00   0.00000E+00   6.11364E-02   5.14507E-03   2.09870E+01      1  4.15777E-04   4.00001E-03   0.00000E+00   0.00000E+00
 -5.87136E-01   6.33183E-01   1.74662E+00   6.23372E+00   9.84190E-35   5.19092-270  -4.82727E-03   2.65531E-03   0.00000E+00   0.00000E+00   6.23982E-02   5.27247E-03   2.14867E+01      1  4.36011E-04   4.09898E-03   0.00000E+00   0.00000E+00
 -6.01906E-01   6.39124E-01   1.78381E+00   6.21608E+00   9.84190E-35   5.19092-270  -4.81384E-03   2.72028E-03   0.00000E+00   0.00000E+00   6.36483E-02   5.40023E-03   2.19864E+01      1  4.56740E-04   4.19822E-03   0.00000E+00   0.00000E+00
 -6.16754E-01   6.45213E-01   1.82078E+00   6.19807E+00   9.84190E-35   5.19092-270  -4.80008E-03   2.78548E-03   0.00000E+00   0.00000E+00   6.48867E-02   5.52835E-03   2.24861E+01      1  4.77966E-04   4.29772E-03   0.00000E+00   0.00000E+00
 -6.31682E-01   6.51450E-01   1.85750E+00   6.17969E+00   9.84190E-35   5.19092-270  -4.78600E-03   2.85090E-03   0.00000E+00   0.00000E+00   6.61134E-02   5.65685E-03   2.29858E+01      1  4.99690E-04   4.39751E-03   0.00000E+00   0.00000E+00
 -6.46693E-01   6.57837E-01   1.89399E+00   6.16094E+00   9.84190E-35   5.19092-270  -4.77159E-03   2.91656E-03   0.00000E+00   0.00000E+00   6.73282E-02   5.78574E-03   2.34854E+01      1  5.21914E-04   4.49758E-03   0.00000E+00   0.00000E+00
 -6.61787E-01   6.64375E-01   1.93023E+00   6.14184E+00   9.84190E-35   5.19092-270  -4.75685E-03   2.98245E-03   0.00000E+00   0.00000E+00   6.85312E-02   5.91502E-03   2.39851E+01      1  5.44638E-04   4.59794E-03   0.00000E+00   0.00000E+00
 -6.76967E-01   6.71064E-01   1.96621E+00   6.12236E+00   9.84190E-35   5.19092-270  -4.74178E-03   3.04859E-03   0.00000E+00   0.00000E+00   6.97222E-02   6.04471E-03   2.44848E+01      1  5.67864E-04   4.69860E-03   0.00000E+00   0.00000E+00
 -6.92236E-01   6.77905E-01   2.00195E+00   6.10254E+00   9.84190E-35   5.19092-270  -4.72637E-03   3.11498E-03   0.00000E+00   0.00000E+00   7.09013E-02   6.17482E-03   2.49845E+01      1  5.91593E-04   4.79957E-03   0.00000E+00   0.00000E+00
 -7.07594E-01   6.84899E-01   2.03742E+00   6.08235E+00   9.84190E-35   5.19092-270  -4.71064E-03   3.18163E-03   0.00000E+00   0.00000E+00   7.20684E-02   6.30536E-03   2.54842E+01      1  6.15828E-04   4.90084E-03   0.00000E+00   0.00000E+00
 -7.23045E-01   6.92046E-01   2.07262E+00   6.06181E+00   9.84190E-35   5.19092-270  -4.69457E-03   3.24853E-03   0.00000E+00   0.00000E+00   7.32235E-02   6.43633E-03   2.59839E+01      1  6.40570E-04   5.00243E-03   0.00000E+00   0.00000E+00
 -7.38589E-01   6.99349E-01   2.10756E+00   6.04093E+00   9.84190E-35   5.19092-270  -4.67817E-03   3.31571E-03   0.00000E+00   0.00000E+00   7.43667E-02   6.56775E-03   2.64836E+01      1  6.65820E-04   5.10434E-03   0.00000E+00   0.00000E+00
 -7.54229E-01   7.06808E-01   2.14223E+00   6.01969E+00   9.84190E-35   5.19092-270  -4.66143E-03   3.38315E-03   0.00000E+00   0.00000E+00   7.54978E-02   6.69963E-03   2.69833E+01      1  6.91581E-04   5.20658E-03   0.00000E+00   0.00000E+00
 -7.69968E-01   7.14423E-01   2.17661E+00   5.99811E+00   9.84190E-35   5.19092-270  -4.64436E-03   3.45087E-03   0.00000E+00   0.00000E+00   7.66169E-02   6.83198E-03   2.74830E+01      1  7.17852E-04   5.30916E-03   0.00000E+00   0.00000E+00
 -7.85806E-01   7.22196E-01   2.21071E+00   5.97619E+00   9.84190E-35   5.19092-270  -4.62694E-03   3.51887E-03   0.00000E+00   0.00000E+00   7.77241E-02   6.96481E-03   2.79827E+01      1  7.44638E-04   5.41208E-03   0.00000E+00   0.00000E+00
 -8.01747E-01   7.30128E-01   2.24453E+00   5.95392E+00   9.84190E-35   5.19092-270  -4.60919E-03   3.58716E-03   0.00000E+00   0.00000E+00   7.88193E-02   7.09814E-03   2.84823E+01      1  7.71938E-04   5.51535E-03   0.00000E+00   0.00000E+00
 -8.17792E-01   7.38219E-01   2.27805E+00   5.93132E+00   9.84190E-35   5.19092-270  -4.59109E-03   3.65574E-03   0.00000E+00   0.00000E+00   7.99025E-02   7.23196E-03   2.89820E+01      1  7.99755E-04   5.61897E-03   0.00000E+00   0.00000E+00
